ESC Armed, Spooling up in 2 seconds
Time_ms,Pitch_deg,Error_deg,Gimbal_deg
56388,-1.80,1.80,-4.96
56409,-1.80,1.80,-4.84
56429,-1.65,1.65,-3.13
56450,-1.65,1.65,-3.49
56470,-1.50,1.50,-2.10
56491,-1.35,1.35,-1.04
56511,-1.05,1.05,1.43
56531,-0.90,0.90,1.69
56552,-0.75,0.75,2.00
56572,-0.60,0.60,2.33
56593,-0.45,0.45,2.68
56613,-0.30,0.30,3.04
56634,-0.30,0.30,1.77
56654,-0.30,0.30,0.92
56675,-0.30,0.30,0.36
56695,-0.30,0.30,-0.02
56716,-0.30,0.30,-0.27
56736,-0.45,0.45,-2.07
56757,-0.30,0.30,-0.13
56777,-0.30,0.30,-0.34
56798,0.00,0.00,2.79
56818,0.15,-0.15,3.50
56839,0.60,-0.60,7.37
56859,1.05,-1.05,10.34
56880,1.50,-1.50,12.70
56900,1.95,-1.95,14.65
56921,2.40,-2.40,15.00
56941,2.70,-2.70,15.00
56962,3.15,-3.15,15.00
56982,3.45,-3.45,15.00
57003,3.90,-3.90,15.00
57023,4.20,-4.20,15.00
57043,4.80,-4.80,15.00
57064,5.25,-5.25,15.00
57084,5.85,-5.85,15.00
57105,6.30,-6.30,15.00
57125,7.05,-7.05,15.00
57146,7.65,-7.65,15.00
57166,8.25,-8.25,15.00
57187,8.85,-8.85,15.00
57207,9.45,-9.45,15.00
57228,10.20,-10.20,15.00
57248,10.95,-10.95,15.00
57269,11.55,-11.55,15.00
57289,12.30,-12.30,15.00
57310,12.90,-12.90,15.00
57330,13.65,-13.65,15.00
57351,14.25,-14.25,15.00
57371,14.85,-14.85,15.00
57392,15.45,-15.45,15.00
57412,16.05,-16.05,15.00
57433,16.65,-16.65,15.00
57453,17.25,-17.25,15.00
57474,17.85,-17.85,15.00
57494,18.45,-18.45,15.00
57515,19.05,-19.05,15.00
57535,19.50,-19.50,15.00
57555,20.10,-20.10,15.00
57576,20.70,-20.70,15.00
57596,21.30,-21.30,15.00
57617,21.90,-21.90,15.00
57637,22.50,-22.50,15.00
